,primary_label,peak0_accuracy,peak0_freqency,peak0_prominence,peak0_width,peak0_width_height,peak1_accuracy,peak1_freqency,peak1_prominence,peak1_width,peak1_width_height,peak2_accuracy,peak2_freqency,peak2_prominence,peak2_width,peak2_width_height
0,pasfly,,,,,,,,,,,,,,,
1,pasfly,0.539082913273663,2062.5,8.505078163877512,6.5087628261028385,4.468986866357545,0.7063130957068497,953.125,2.6356760412021347,10.214960068513923,2.646553527138063,0.7767388367792826,3703.125,2.0728571709697965,4.479059347242554,2.462816575195734
2,pasfly,,,,,,0.5525172331889194,515.625,2.779742813140336,2.2347229305082545,2.8923758192007583,0.1377170109436141,2687.5,2.634925407636141,24.35395370953651,2.3029259350534494
3,pasfly,0.3864971248040179,2078.125,10.642249803633923,9.779905266268415,5.562790761665472,,,,,,,,,,
4,pasfly,,,,,,,,,,,,,,,
5,pasfly,,,,,,,,,,,,,,,
6,pasfly,0.062908805186222,4109.375,5.388957334511697,44.8195439594824,2.8700791280360725,,,,,,,,,,
7,pasfly,0.0775217037169712,3921.875,5.460649514566602,44.445490116355714,2.901744464917272,,,,,,0.7054303247751359,3328.125,1.9361657040493896,3.3947825730419647,2.7914216421093934
8,pasfly,0.07684830053318338,2593.75,3.0798225456356834,61.74499817627093,2.2751416289764728,,,,,,,,,,
9,pasfly,,,,,,,,,,,,,,,
10,pasfly,,,,,,0.2375233775977732,4062.5,2.7266768374497223,9.180609338481874,3.458569266277873,,,,,
11,pasfly,,,,,,,,,,,,,,,
12,pasfly,,,,,,,,,,,,,,,
13,pasfly,,,,,,,,,,,,,,,
14,pasfly,,,,,,,,,,,,,,,
15,pasfly,,,,,,,,,,,,,,,
16,pasfly,,,,,,,,,,,,,,,
17,pasfly,0.1679493129069909,4203.125,6.613975150303483,19.229597725470622,3.4618722961902475,,,,,,,,,,
18,pasfly,,,,,,,,,,,,,,,
19,pasfly,,,,,,,,,,,,,,,
20,pasfly,,,,,,,,,,,,,,,
21,pasfly,,,,,,0.2241373791404171,3937.5,1.7140202725954994,11.599991748576373,2.670545243067726,,,,,
22,pasfly,,,,,,,,,,,,,,,
23,pasfly,0.9470967282670696,3421.875,4.134828438771374,18.902422614772547,2.1556103741658834,,,,,,,,,,
24,pasfly,,,,,,0.8572405175767697,31.25,3.606566080696715,7.004788634882834,2.7430977814446114,,,,,
25,pasfly,,,,,,0.2301366558766901,671.875,5.107113062742389,12.98931826840984,3.1657762931752447,,,,,
26,pasfly,0.8825978360975577,109.375,5.007610490294773,8.51773056611606,3.0951676640966435,,,,,,,,,,
27,pasfly,0.4311381863245815,31.25,4.691248312482205,1.7578961638134856,14.771277380426335,,,,,,,,,,
28,pasfly,,,,,,0.7853940356298286,78.125,3.1520532608878185,4.659702739086558,3.3521649324040697,0.7170885264997101,296.875,2.2458276735252305,42.416095224175145,2.3804862177991084
29,pasfly,,15.625,3.0835744602715347,1.2318806066915955,14.126366395087205,,,,,,0.5151746372011834,171.875,0.8227922654947553,2.0625983637224863,3.198361631714686
30,pasfly,,,,,,1.0,31.25,3.4033355693955203,3.4233558350224262,5.48079063855455,,,,,
31,pasfly,,,,,,,,,,,,,,,
32,pasfly,0.6265899287829936,4656.25,4.001553404930892,120.5109435140231,2.0462750208049334,,,,,,,,,,
33,pasfly,,,,,,,,,,,,,,,
34,pasfly,,,,,,,,,,,,,,,
35,pasfly,0.5934729189147869,31.25,4.027291674616893,2.4598607239904577,6.756705561261428,,,,,,,,,,
36,pasfly,,,,,,,,,,,,,,,
37,pasfly,,,,,,,,,,,,,,,
38,pasfly,,,,,,,,,,,,,,,
39,pasfly,,,,,,,,,,,,,,,
40,pasfly,0.6666851883827247,203.125,7.512268248669152,18.00100022824497,4.1767569124768125,,,,,,,,,,
