primary_label,filename,mean,variance,skewness,kurtosis,mode,gmean,hmean
osprey,XC109037.ogg,3049.639892578125,1515.2361989021301,0.1333021964016445,-1.3560870733673742,3025.4150390625,3049.4227303549474,3049.205794128723,
osprey,XC109038.ogg,3025.4150390625,57.95985460281372,0.0,-0.5,3025.4150390625,3025.407375962069,3025.3997128228198,
osprey,XC109330.ogg,2861.8972778320312,65598.48044067621,0.011118552321723095,1.6400651056925941,2928.515625,2850.9933165705197,2839.8456572957443,
osprey,XC118482.ogg,3035.8906513935813,15858.373190905599,1.9568352552590742,3.2601941696859518,2950.048828125,3033.473855490783,3031.1747989249284,
osprey,XC120875.ogg,31.402587890625,199.34677264907143,0.4099295519220972,-1.0732209047332568,21.533203125,28.435858737469268,25.499845805921055,
osprey,XC121400.ogg,2865.71044921875,20749.627947807312,-0.6913528209852929,0.43198116698694156,2874.6826171875,2862.096577778521,2858.383246565483,
osprey,XC122906.ogg,116.63818359375,251.15936994552612,0.3053162697580516,-1.1517159763313611,107.666015625,115.75469286766064,114.88937644665928,
osprey,XC124926.ogg,,
osprey,XC131038.ogg,2202.197265625,836655.4573082154,-1.5166788869834955,0.3670527983756857,2648.583984375,1791.7760451744894,1167.758795344364,
osprey,XC131039.ogg,2747.63671875,24401.098787784576,1.2885818072074937,0.0546285377912934,2680.8837890625,2743.5622759997896,2739.6729298226905,
osprey,XC132652.ogg,6.625600961538462,49.04295389468854,0.5035560994609064,-0.6460055096418738,0.0,0.0,0.0,
osprey,XC132798.ogg,,
osprey,XC134646.ogg,,
osprey,XC134750.ogg,3339.1845703125,3416.871428489685,-1.1843163478017658,0.9479787869851055,3348.4130859375,3338.7402132482234,3338.289954037044,
osprey,XC138764.ogg,,
osprey,XC138766.ogg,,
osprey,XC138768.ogg,,
osprey,XC139849.ogg,,
osprey,XC141211.ogg,2900.1824629934213,6365.415610765156,-0.12040967306229353,-1.1874159172799548,3003.8818359375,2899.140078731842,2898.095225189769,
osprey,XC143656.ogg,2877.374267578125,106.25973343849182,-0.49338220021815865,-1.371900826446281,2885.44921875,2877.360404841707,2877.346527955723,
osprey,XC144699.ogg,2263.1396484375,81.14379644393921,-0.3436215967445456,-1.153061224489796,2260.986328125,2263.1252948084075,2263.1109294193143,
osprey,XC145834.ogg,2655.50537109375,7073.013025980729,-0.40606783280476455,-1.5026018637130207,2530.1513671875,2654.2579312774837,2653.0002809058365,
osprey,XC152360.ogg,2079.6105018028848,8536.446277911846,0.21769535935277584,1.4583606013008108,2099.4873046875,2077.7209476719727,2075.833093688105,
osprey,XC166108.ogg,3274.451214334239,29741.881753616177,0.7282832128826445,-0.5816881041801194,3068.4814453125,3270.205228054107,3266.0578190489923,
osprey,XC166109.ogg,2271.284816576087,3250.7918451143355,0.04740471605216073,-1.5635492046180879,2217.919921875,2270.600640543661,2269.9170215610584,
osprey,XC166110.ogg,3204.140625,5494.594216346741,0.7298179482902593,-1.0785048837673186,3143.84765625,3203.3487895519056,3202.5654910486933,
osprey,XC167214.ogg,3526.06201171875,57.95985460281372,0.0,-2.0,3520.6787109375,3526.057902326445,3526.053792938931,
