primary_label,filename,mean,variance,skewness,kurtosis,mode,gmean,hmean
sumtan,XC10788.ogg,3667.822265625,993489.86774683,-0.13672385511357932,-1.867888718811076,2616.2841796875,3541.933332615017,3416.7222193885436,
sumtan,XC111162.ogg,3568.6390269886365,280633.08509913355,1.3082274937335978,0.3079938059207956,3445.3125,3534.9294540145984,3504.811883000187,
sumtan,XC11280.ogg,3333.405095880682,96654.86344220964,2.0940069674641855,3.967605202155741,3122.314453125,3320.8356053656644,3309.579456349201,
sumtan,XC123407.ogg,2916.5067232572114,101038.65028986563,-0.5522865481396153,-1.4646325558054094,3057.71484375,2899.0879194702716,2881.010116417057,
sumtan,XC124759.ogg,,
sumtan,XC126218.ogg,5986.99951171875,2291116.7479249146,-0.17240425130799686,-1.799803915905772,4500.439453125,5800.2819428176135,5612.402059570201,
sumtan,XC127037.ogg,45.55100661057692,138.2119609759404,0.32877337077368,-1.105272285813388,32.2998046875,44.17237563963841,42.8466796875,
sumtan,XC127610.ogg,,
sumtan,XC129294.ogg,4.87060546875,35.07210714061086,0.6343735906964132,-0.7425923128783047,0.0,0.0,0.0,
sumtan,XC130162.ogg,,
sumtan,XC131745.ogg,,
sumtan,XC132058.ogg,,
sumtan,XC133991.ogg,2775.98876953125,25289.816558361053,-0.4769799157700499,-1.495881331628422,2573.2177734375,2772.124329216275,2768.1968186971308,
sumtan,XC135046.ogg,3838.29345703125,1474598.0608463287,0.0,-1.9998203236422436,2702.4169921875,3666.362261503195,3502.1295939141337,
sumtan,XC135099.ogg,2860.3271484375,60046.409368515015,-0.7054361171857012,-1.4985528223341928,3025.4150390625,2850.6095572048266,2840.5388561885716,
sumtan,XC135246.ogg,,
sumtan,XC135699.ogg,2479.010009765625,26690.51304459572,1.1513339432446366,-0.6691816751764339,2400.9521484375,2475.138166011102,2471.4328222075924,
sumtan,XC135700.ogg,2771.630859375,612.7184629440308,1.1210120057358568,0.3412466520574631,2756.25,2771.5366923718116,2771.4430990880064,
sumtan,XC135701.ogg,2795.7275390625,30.911922454833984,-0.7071067811865475,-1.5,2799.31640625,2795.722928094004,2795.718313182841,
sumtan,XC136274.ogg,4645.78857421875,1603187.8814258073,-0.40567064493010446,-1.827605667266992,5695.5322265625,4465.274558425141,4278.132164888608,
sumtan,XC136276.ogg,2615.087890625,3548.431098461151,-0.40656920447663536,-1.5238709688044503,2659.3505859375,2614.481171784601,2613.870946494671,
sumtan,XC136277.ogg,2765.22216796875,22358.45300284299,-0.4705578879490432,-1.584050887086871,2562.451171875,2761.4513263057174,2757.621114165757,
sumtan,XC141543.ogg,2587.5732421875,1004.6374797821045,0.7766482611970437,-1.113372781065089,2562.451171875,2587.412392158597,2587.252471044722,
sumtan,XC141545.ogg,2828.7451171875,150388.7107372284,0.6514892413253565,-1.3311494173451097,2670.1171875,2805.134374574669,2782.883907948641,
sumtan,XC141546.ogg,2669.04052734375,11526.283085346222,-1.6778950795637206,1.9259844223985079,2723.9501953125,2667.007456351246,2664.880604210816,
sumtan,XC141548.ogg,2710.736638849432,2681.960544802926,1.0022963574730754,0.7133511971028175,2713.18359375,2710.270064522114,2709.809028780222,
sumtan,XC141549.ogg,2852.252197265625,48527.32735601338,-1.7200563229604116,1.0769582944632692,2971.58203125,2843.7059435497167,2834.3706728809393,
sumtan,XC146407.ogg,,
sumtan,XC147501.ogg,2815.46630859375,57.95985460281372,0.0,-2.0,2810.0830078125,2815.4611620299816,2815.4560154756214,
sumtan,XC161886.ogg,5173.9501953125,46226.20403766632,0.2033253712324693,-1.9199792419734583,4963.4033203125,5169.998686921135,5166.070784550453,
sumtan,XC163970.ogg,,
sumtan,XC166829.ogg,3483.385699728261,111196.25281952227,0.7811671508963156,-0.27817556362743945,3326.8798828125,3468.2862527236525,3453.799543982728,
sumtan,XC174929.ogg,0.538330078125,5.795985460281372,4.129483209670112,15.052631578947366,0.0,0.0,0.0,
sumtan,XC177074.ogg,4640.704345703125,97475.13547539711,-0.908785342337906,-0.3904650610311573,3983.642578125,4630.031501689548,4618.891641526759,
sumtan,XC178216.ogg,4364.5111083984375,133338.7155085802,0.324295329733769,-0.7142347844637524,3811.376953125,4351.29877718106,4338.24634800633,
sumtan,XC185190.ogg,5101.102487664473,73835.43161969437,-1.3778427488958356,-0.03336091639431249,4586.572265625,5093.895107919038,5086.332083032109,
sumtan,XC194630.ogg,,
sumtan,XC197671.ogg,3663.037109375,73032.3330186448,0.29513664145766305,-1.6310012560096838,3445.3125,3653.371360075131,3643.8522836521634,
sumtan,XC212506.ogg,622.540283203125,197287.3661789027,0.3998637275288301,-0.5581544783660246,96.8994140625,412.1344209042379,228.45818062636008,
sumtan,XC212542.ogg,3299.5292417464716,597700.6038486281,-0.003489977253598771,-1.1950409691509438,1916.455078125,3205.778258228324,3110.2070322166555,
sumtan,XC213562.ogg,,
sumtan,XC216361.ogg,4387.879527698864,191948.2850269838,-0.2558955323338092,-1.8279175130357896,3811.376953125,4367.608098075374,4347.073440834263,
sumtan,XC234333.ogg,94.36609604779412,340.9403211930219,1.1423310050068676,0.6578375000000003,86.1328125,92.83718826555592,91.4644621045426,
sumtan,XC234566.ogg,2839.990234375,1268.6768174171448,1.8985349690940692,2.47432940812698,2820.849609375,2839.7945966760553,2839.6018234157514,
sumtan,XC236071.ogg,60.68448153409091,52.69077691164885,0.5091168824543153,-0.6759999999999997,53.8330078125,60.30099637348964,59.92975809487952,
sumtan,XC236072.ogg,2321.5484619140625,4284522.861912847,0.026390750961516777,-1.5389019362474234,75.3662109375,843.2045924475132,201.74910240764223,
sumtan,XC236566.ogg,37.19371448863637,31.614466146989297,0.18257418583505364,-1.966666666666667,32.2998046875,36.812069309487754,36.44080528846155,
sumtan,XC236568.ogg,2844.723378057065,26049.86192445039,0.840384765836556,-0.7365346400304351,2734.716796875,2840.4688210148456,2836.340983922653,
sumtan,XC240170.ogg,2843.997802734375,14062.249646737026,0.13738420309809227,-0.1276810094767038,2810.0830078125,2841.5915414938113,2839.188597084078,
sumtan,XC240976.ogg,389.7509765625,13527.830064296722,-0.8999546425741348,-0.8015311820566873,462.9638671875,372.3379256349083,351.5728788179857,
sumtan,XC242975.ogg,3547.59521484375,471059.52952693147,0.5255687384274035,-0.09941725795914547,2745.4833984375,3484.6789123622584,3423.6589314873677,
sumtan,XC242981.ogg,2509.4463641826924,182.79646451656632,0.11507482138214745,-1.0570097164386294,2497.8515625,2509.4127568791655,2509.3791625273993,
sumtan,XC242982.ogg,129.19921875,0.0,0.0,-3.0,129.19921875,129.19921875,129.19921875,
sumtan,XC253404.ogg,3785.8062744140625,1996531.8934667495,-0.7428051561880288,-1.0162844144488892,4737.3046875,3417.8617792873965,2876.7212350351624,
sumtan,XC254088.ogg,344.53125,38.63990306854248,0.0,0.49999999999999956,344.53125,344.4831646857159,344.4350525268742,
sumtan,XC254771.ogg,,
sumtan,XC254774.ogg,,
sumtan,XC254864.ogg,2788.5498046875,1192211.025238037,-1.7884470926941398,1.1992725310112622,3229.98046875,2414.4991387561486,1800.6641459314246,
sumtan,XC256438.ogg,,
sumtan,XC256439.ogg,,
sumtan,XC259711.ogg,3318.453846807065,268735.53526599694,-0.37562618979247275,-1.6140220957696088,2723.9501953125,3276.521822515906,3233.1603158297416,
sumtan,XC262625.ogg,2711.38916015625,14439.731776714325,-1.1963234853400153,0.0922682711537548,2799.31640625,2709.0935555892165,2706.7200967929643,
sumtan,XC262626.ogg,4277.6536207932695,61135.757405024306,-0.7834788105476483,-1.312247721014066,4382.0068359375,4270.853231708482,4263.857781049242,
sumtan,XC264284.ogg,107.666015625,289.7992730140686,0.0,-1.3,86.1328125,106.57612532961987,105.48179660440374,
sumtan,XC264838.ogg,3757.5439453125,10497.17366695404,-1.268158241530456,-0.127209153524785,3789.84375,3756.189808863071,3754.80465042808,
sumtan,XC267278.ogg,,
sumtan,XC269510.ogg,2787.47314453125,32082.71151781082,0.12658153848295198,-1.6769133684912492,2583.984375,2782.3125599669775,2777.181810211054,
sumtan,XC269517.ogg,2881.3082181490386,26015.057815955235,2.5047260280128,5.362840716093595,2788.5498046875,2877.473482159737,2873.943357910512,
sumtan,XC276404.ogg,3138.2302989130435,628135.9151771418,-2.5501492397526917,7.321422351314519,2605.517578125,2797.9422788704255,1425.0693270856113,
sumtan,XC282796.ogg,,
sumtan,XC285079.ogg,1119.7265625,5332.306623458862,0.0,-1.2045454545454546,1001.2939453125,1117.4429778825686,1115.1566277876914,
sumtan,XC286755.ogg,,
sumtan,XC288329.ogg,4334.29121537642,303684.8244389193,-0.8312535593274375,-1.1800566911974906,4597.3388671875,4297.258208155456,4257.664579998247,
sumtan,XC289660.ogg,52.75634765625,11.591970920562744,-2.6666666666666665,5.111111111111114,53.8330078125,52.645062369071255,52.520007621951216,
sumtan,XC289826.ogg,19.048602764423077,99.57205790739795,-0.1856672437070382,-0.7858097571842286,21.533203125,0.0,0.0,
sumtan,XC294192.ogg,2742.4072265625,1166.840149806096,0.7061071875205721,-1.0421616673976466,2713.18359375,2742.210777807143,2742.0154323472857,
sumtan,XC295841.ogg,37.68310546875,38.63990306854248,0.0,-2.0,32.2998046875,37.29660186220092,36.9140625,
sumtan,XC298750.ogg,34.453125,197.06350564956665,0.3631734744194305,-1.3719723183391002,21.533203125,32.21965530052885,30.18673335280374,
sumtan,XC299680.ogg,,
sumtan,XC299830.ogg,1254.30908203125,1120.557188987732,0.9220734033619128,-0.839476813317479,1227.392578125,1253.9786845486399,1253.6529310549595,
sumtan,XC305054.ogg,3439.5703125,163411.46206855774,-1.0348951108754396,-0.8982368333237458,2788.5498046875,3415.397617095816,3389.302979469021,
sumtan,XC305056.ogg,2110.25390625,66.23983383178711,0.0,-1.0,2110.25390625,2110.240173205788,2110.226440072204,
sumtan,XC305057.ogg,3056.63818359375,964.7095799446106,1.4804963766622337,1.812642045201347,3025.4150390625,3056.497481870327,3056.358088837687,
sumtan,XC305063.ogg,2755.352783203125,56662.78331117197,0.1531330800317691,-1.7997329387205316,2508.6181640625,2745.984615641354,2736.7147248077413,
sumtan,XC305072.ogg,2791.6259765625,12081.126616551326,-0.2754755021751269,-1.8716912019106164,2670.1171875,2789.601794146893,2787.564711758861,
sumtan,XC305076.ogg,3935.0192162298385,246312.928941942,-2.437057393573511,6.669990923422612,3886.7431640625,3895.3969722876996,3842.749536713598,
sumtan,XC305126.ogg,3009.548468338816,751938.8885156587,1.107392368072396,1.1301213709644031,2228.6865234375,2899.3038784368437,2801.8186889418766,
sumtan,XC305134.ogg,4982.978959517045,3079.2490027167582,-1.7244417159689545,1.63618980558162,5006.4697265625,4982.694576047539,4982.406661851244,
sumtan,XC313281.ogg,4767.2119140625,16359.074255999396,0.3795156938238888,-1.3461728034246487,4618.8720703125,4765.601509525707,4764.001630845357,
sumtan,XC313865.ogg,3581.09130859375,1225327.7708677684,0.4889105583992295,-1.7051835666111086,2745.4833984375,3430.5718739195613,3298.405757488999,
sumtan,XC313873.ogg,4855.7373046875,3767.390549182892,-1.3577270894181972,0.06331360946745512,4748.0712890625,4855.423731531802,4855.106919317234,
sumtan,XC315998.ogg,3846.9535495923915,138855.31712426498,-0.34053117054931453,-0.9477818057026552,4015.9423828125,3829.195550532664,3810.984707311101,
sumtan,XC320483.ogg,3747.0849609375,143491.45556898677,1.394404503662435,0.8052228396356051,3262.2802734375,3729.9413775424373,3714.1601855662093,
sumtan,XC323192.ogg,3057.71484375,77.27980613708496,0.0,-1.0,3057.71484375,3057.7053660637116,3057.695888348051,
sumtan,XC323195.ogg,3308.935546875,38.63990306854248,0.7071067811865475,-1.5,3305.3466796875,3308.9316572042676,3308.9277703480498,
sumtan,XC323197.ogg,2648.583984375,1901.08323097229,0.0,-1.9417013682331945,2605.517578125,2648.284893252785,2647.9858319671603,
sumtan,XC324790.ogg,79.98046875,419.51894760131836,-0.5090764334169324,-0.20585180055401686,75.3662109375,77.35037839902131,74.2756556755964,
sumtan,XC328691.ogg,163.8916015625,225.3994345664978,-0.1207363221040738,-1.156530612244898,150.732421875,163.27292355124226,162.6482384383166,
sumtan,XC328692.ogg,204.5654296875,115.91970920562744,0.0,-1.5,193.798828125,204.37636726029947,204.18730504852124,
sumtan,XC333286.ogg,4529.9059416118425,2342.1204403827064,0.42262974304608414,-0.43188076593625135,4489.6728515625,4529.661720630387,4529.418189316621,
sumtan,XC334413.ogg,1344.1687950721155,502216.273751336,-0.6944928946710109,-1.1442446913034616,193.798828125,1017.8607148860697,624.9150153514238,
sumtan,XC334613.ogg,13.1591796875,101.05820802541879,0.9915427023544201,1.3572664359861584,10.7666015625,0.0,0.0,
sumtan,XC335246.ogg,493.7255859375,209.75947380065918,0.271676526951981,-0.8760387811634347,484.4970703125,493.5442950192081,493.3638175011679,
sumtan,XC336945.ogg,,
sumtan,XC337968.ogg,,
sumtan,XC341899.ogg,3747.727338005515,3262158.835850616,-1.3575865926228676,0.32928990120349155,21.533203125,2069.249103250966,203.9792598850091,
sumtan,XC351420.ogg,3010.848460477941,2956299.4915203135,-1.2194081417547225,-0.4699314104720993,10.7666015625,1063.5976858213262,60.2939564980944,
sumtan,XC360992.ogg,,
sumtan,XC367896.ogg,2920.97900390625,104804.83940400575,-0.6827743913622916,-0.8251737479092083,2885.44921875,2902.9088070066437,2883.8407961326557,
sumtan,XC368753.ogg,18.22040264423077,26.750702124375568,-0.8333333333333338,-1.3055555555555556,21.533203125,17.397386951095047,16.46656709558824,
sumtan,XC370383.ogg,1.3458251953125,14.48996365070343,2.2677868380553634,3.1428571428571423,0.0,0.0,0.0,
sumtan,XC370492.ogg,8.012354651162791,28.11341784721197,-0.4968003126968905,-0.3906611621942817,10.7666015625,0.0,0.0,
sumtan,XC371065.ogg,1.5380859375,16.559958457946777,2.041241452319315,2.166666666666667,0.0,0.0,0.0,
