primary_label,filename,mean,variance,skewness,kurtosis,mode,gmean,hmean
tenwar,XC101290.ogg,5665.02685546875,30283.145850354977,0.696454620102111,-0.9523936372718138,5577.099609375,5662.608631073993,5660.222725942583,
tenwar,XC110061.ogg,6816.796875,209.75947380065918,-0.271676526951981,-0.8760387811634347,6815.2587890625,6816.783682700394,6816.770485670683,
tenwar,XC111163.ogg,,
tenwar,XC111164.ogg,6913.84708180147,1181311.6632153005,-3.1794531400265122,9.480897765018419,6965.9912109375,6778.830516179788,6557.209403601965,
tenwar,XC111165.ogg,5154.313548018293,1430275.473399133,-3.621006872187301,12.609237544621477,161.4990234375,4549.435250944904,2089.371290245796,
tenwar,XC134523.ogg,8198.228759765625,1467842.1643203811,-0.8749385693284288,-0.7825272826365319,8774.7802734375,8104.158470931468,8001.242988692434,
tenwar,XC136241.ogg,9463.8427734375,629.2784214019775,-0.9469787979964438,-0.15373961218836607,9474.609375,9463.811693009227,9463.780562140406,
tenwar,XC149088.ogg,,
tenwar,XC149091.ogg,18.634502704326923,125.72829998456513,1.206471840174607,0.14897842160857167,10.7666015625,16.133076663501214,14.41708020386266,
tenwar,XC149730.ogg,,
tenwar,XC152224.ogg,5257.177734375,10706922.66693482,-0.9304066255581269,-1.107189157040995,279.931640625,2873.9937483552294,908.698294742423,
tenwar,XC16990.ogg,1019.9560546875,9860.903263092041,-0.11241999741913387,-0.5676405714750987,1033.59375,1015.3736387668226,1010.7231712055249,
tenwar,XC171450.ogg,,
tenwar,XC174381.ogg,,
tenwar,XC174384.ogg,7450.302650188578,2551683.5806649956,-0.1397898277940521,-1.679057391758397,6136.962890625,7274.982968017805,7096.959015693061,
tenwar,XC174387.ogg,6356.862571022727,245407.59069602808,-1.1363144381294272,0.956538998468984,6093.896484375,6336.509699355739,6314.691742557669,
tenwar,XC174389.ogg,,
tenwar,XC176267.ogg,3170.76416015625,38.63990306854248,0.0,-2.0,3165.380859375,3170.759590288121,3170.7550204265704,
tenwar,XC176268.ogg,7905.377197265625,5375905.03408857,-1.2568090494189292,0.051436629201485395,9410.009765625,7437.595759871424,6807.583200629505,
tenwar,XC177075.ogg,3005.0151624177633,564978.4269144661,-3.3456466175902584,11.022358548753962,2993.115234375,2550.9927265279975,782.388645292467,
tenwar,XC177077.ogg,5417.138671875,100828.06706428528,2.037956786177382,2.159516596648702,5286.4013671875,5409.7001842632835,5402.773340081389,
tenwar,XC177079.ogg,2589.36767578125,11159.906549887224,-0.33653646780746854,-1.8754504088789734,2670.1171875,2587.374032411372,2585.3642415863483,
tenwar,XC177080.ogg,7013.131466427365,2005928.430661962,0.36830329454886107,-0.95249212806723,5329.4677734375,6876.902672402252,6745.141095833121,
tenwar,XC179517.ogg,109.8193359375,81.14379644393921,-0.3436215967445456,-1.153061224489796,107.666015625,109.51767551957586,109.21040519339138,
tenwar,XC179805.ogg,9568.10880962171,6479.301640861913,-1.9111694901424976,2.778554021195677,9571.5087890625,9567.784637369767,9567.457024435766,
tenwar,XC179808.ogg,9576.89208984375,6692.431211471558,-1.1983734942594721,0.14787534202006514,9593.0419921875,9576.562328010294,9576.230364287007,
tenwar,XC180094.ogg,4604.26025390625,107179.98264076041,-0.44643198270575146,-1.3643048850391788,4834.2041015625,4592.425413739006,4580.337452602342,
tenwar,XC181174.ogg,8679.868539663461,1003081.8335691897,-1.9645217492382507,2.277196409411367,9054.7119140625,8612.138198324834,8531.959312270134,
