primary_label,filename,mean,variance,skewness,kurtosis,mode,gmean,hmean
weskin,XC124105.ogg,4463.3544921875,321.999192237854,-0.1025304832720494,-1.1967,4446.6064453125,4463.322420083077,4463.2903395315,
weskin,XC124107.ogg,4059.0087890625,13678.525686264038,0.6107305798963224,-1.3320565610137571,3983.642578125,4057.5085566542475,4056.0250132504934,
weskin,XC124287.ogg,3630.708126905488,50978.660798654324,0.7217304612886295,-1.365761199487052,3509.912109375,3624.0474316084133,3617.5855957202166,
weskin,XC124288.ogg,3245.716271033654,92805.61642004894,-0.45912985245289517,-1.3198943723862449,3046.9482421875,3232.085273678499,3218.0632520300633,
weskin,XC124289.ogg,4366.754150390625,23994.501625949688,-0.3876426571473954,-1.4191169078804755,4102.0751953125,4364.2119723612905,4361.647407838366,
weskin,XC124291.ogg,2803.3538818359375,2770176.760777831,-1.0778949276262677,-0.7341067068768341,10.7666015625,914.4042517602882,51.14525389639247,
weskin,XC124293.ogg,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,
weskin,XC124295.ogg,4070.85205078125,33551.027834415436,-0.008288792628493996,-1.9804794220436988,4242.041015625,4067.140619713025,4063.4315621352703,
weskin,XC124296.ogg,3542.8271484375,68194.49339894687,0.9322862098100642,0.5591638757880806,3348.4130859375,3533.830514740976,3525.1655307901424,
weskin,XC124297.ogg,4046.0888671875,1411.644458770752,1.9949258030844677,3.0861260589269532,4015.9423828125,4045.933672221,4045.780262195505,
weskin,XC124298.ogg,908.2705078125,2341625.266635418,1.2746740702828607,-0.2322851717206471,0.0,0.0,0.0,
weskin,XC124300.ogg,4056.0386920797414,648694.1161443449,-4.552723711547955,20.30286868369142,4328.173828125,3497.088395583273,545.876968255271,
weskin,XC124301.ogg,4305.615234375,5505.082190036774,-0.4565968246183086,-1.2644081313741427,4360.4736328125,4305.003161213072,4304.3879295689,
weskin,XC124302.ogg,4257.776817908654,3275.1251777372754,0.6697056360661605,-0.07939850315241248,4263.57421875,4257.401770988902,4257.028872649643,
weskin,XC124303.ogg,3786.5669582201085,7697.435235788699,-0.7996877101930776,-1.0522587266156527,3822.1435546875,3785.5826207600508,3784.5863090075118,
weskin,XC124304.ogg,4360.4736328125,289.7992730140686,0.0,-1.3,4338.9404296875,4360.447048416617,4360.4204639559075,
weskin,XC124305.ogg,4769.6044921875,7047.918319702148,-0.888010992439049,-0.6169602666204983,4812.6708984375,4768.925966470812,4768.240593393446,
weskin,XC124306.ogg,4174.92919921875,66263.5697722435,-0.4942168832236606,-0.64605485738696,3714.4775390625,4167.077017889807,4159.045441475924,
weskin,XC135360.ogg,3912.8746032714844,83642.15851869238,-1.13197221622598,0.779070235637537,3617.578125,3901.5971962169924,3889.5521249460003,
weskin,XC138717.ogg,3622.96142578125,127.51168012619019,0.0,-0.9421487603305785,3617.578125,3622.9467609268686,3622.9320960062532,
weskin,XC139838.ogg,,
weskin,XC139839.ogg,,
weskin,XC161764.ogg,4679.505037006579,335268.2705301987,-1.4165327533279615,0.09917648104465071,3649.8779296875,4640.925267559153,4597.5172640386845,
weskin,XC161766.ogg,4963.4033203125,77.27980613708496,0.0,-1.0,4963.4033203125,4963.397481581175,4963.391642842985,
weskin,XC161767.ogg,3542.2119140625,77.27980613708496,0.0,-1.0,3542.2119140625,3542.203732725974,3542.195551370559,
weskin,XC161768.ogg,3633.72802734375,2631.377398967743,-1.6043791688182285,0.8864522890023099,3649.8779296875,3633.422051042824,3633.111793226182,
weskin,XC172928.ogg,9.938401442307692,47.556803776667664,0.04687500000000058,-0.38867187499999956,10.7666015625,0.0,0.0,
weskin,XC172930.ogg,9.5703125,39.397548226749194,-0.01508585654909108,-0.008875739644971237,10.7666015625,0.0,0.0,
weskin,XC182567.ogg,3967.3982319078946,133684.91306116708,-0.16901731867533343,-0.8252080151126866,4091.30859375,3950.5599795962407,3933.465563006487,
weskin,XC182944.ogg,4172.8271484375,1965.1150703430176,0.8725938441132999,-1.0793539325842696,4145.1416015625,4172.626461758704,4172.426921677438,
weskin,XC184919.ogg,4068.878173828125,958.0939601768147,-0.9920622410937692,-0.04936481385487923,4059.0087890625,4068.769723657868,4068.6607451951586,
weskin,XC184920.ogg,2314.281005859375,47142.41037086437,1.103775153279177,-0.4225710949405319,2260.986328125,2305.181175049561,2296.6556324096478,
weskin,XC184921.ogg,3427.470703125,163016.81552915013,0.5272002482988479,-1.0492639569331341,4037.4755859375,3405.0998033370397,3383.5376699912877,
